ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-37.8136,144.9631,0,0,-1,VIC,DataCenter
1,-37.813946,144.954633,1,1,0,VIC,Block1 Proxy
14,-37.81524,144.95256,1,2,1,VIC,Optus Minicell - Lon_Spencer Corner Spencer and Lonsdale St MELBOURNE
20,-37.81285,144.955026,1,2,1,VIC,CGU Bldg 485 La Trobe Street MELBOURNE
56,-37.812799,144.954686,1,2,1,VIC,Optus Site CGU Centre 485 Latrobe Street MELBOURNE
57,-37.811928,144.956414,1,2,1,VIC,Optus Site Flagstaff Station 433 Latrobe Street MELBOURNE
59,-37.814431,144.954653,1,2,1,VIC,Optus Site Minicell - Lonsdale & King 600-610 Lonsdale St MELBOURNE
61,-37.816467,144.958334,1,2,2,VIC,Optus Site BHP House 140 William Street MELBOURNE
66,-37.813963,144.957301,1,2,1,VIC,Optus Site Minicell - Lonsdale & William Lonsdale & William Streets MELBOURNE
80,-37.812653,144.956622,1,2,1,VIC,Nubrick House 271 William Street MELBOURNE
93,-37.812934,144.952075,1,2,1,VIC,Optus Site 318-326 Spencer St MELBOURNE
94,-37.812343,144.954135,1,2,1,VIC,Optus Site 450 LaTrobe St MELBOURNE
104,-37.814905,144.954913,1,2,1,VIC,225 King Street MELBOURNE
105,-37.812379,144.956402,1,2,1,VIC,Upper Flagstaff Station MELBOURNE
130,-37.813175,144.952919,1,2,1,VIC,Vodafone Site Building C William Angliss Institute 555 La Trobe Street MELBOURNE VIC 3000
